country_cca3|border_country|border_length
Russia|Poland (Kaliningrad Oblast)|209
Russia|Ukraine|1944
Rwanda|Burundi|315
Rwanda|Democratic Republic of the Congo|221
Rwanda|Tanzania|222
Rwanda|Uganda|172
Saint Martin|Sint Maarten|16
San Marino|Italy|37
Saudi Arabia|Iraq|811
Saudi Arabia|Jordan|731
Saudi Arabia|Kuwait|221
Saudi Arabia|Oman|658
Saudi Arabia|Qatar|87
Saudi Arabia|UAE|457
Saudi Arabia|Yemen|1307
Senegal|The Gambia|749
Senegal|Guinea|363
Senegal|Guinea-Bissau|341
Senegal|Mali|489
Senegal|Mauritania|742
Serbia|Bosnia and Herzegovina|345
Serbia|Bulgaria|344
Serbia|Croatia|314
Serbia|Hungary|164
Serbia|Kosovo|366
Serbia|North Macedonia|101
Serbia|Montenegro|157
Serbia|Romania|531
Sierra Leone|Guinea|794
Sierra Leone|Liberia|299
Sint Maarten|Saint Martin (France)|16
Slovakia|Austria|105
Slovakia|Czechia|241
Slovakia|Hungary|627
Slovakia|Poland|517
Slovakia|Ukraine|97
Slovenia|Austria|299
Slovenia|Croatia|600
Slovenia|Hungary|94
Slovenia|Italy|218
Somalia|Djibouti|61
Somalia|Ethiopia|1640
Somalia|Kenya|684
South Africa|Botswana|1969
South Africa|Lesotho|1106
South Africa|Mozambique|496
South Africa|Namibia|1005
South Africa|Eswatini|438
South Africa|Zimbabwe|230
South Sudan|Central African Republic|1055
South Sudan|Democratic Republic of the Congo|714
South Sudan|Ethiopia|1299
South Sudan|Kenya|317
South Sudan|Sudan|2158
South Sudan|Uganda|475
Spain|Andorra|63
Spain|France|646
Spain|Gibraltar|1.2
Spain|Portugal|1224
Spain|Morocco (Ceuta)|8
Spain|Morocco (Melilla)|10.5
Sudan|Central African Republic|174
Sudan|Chad|1403
Sudan|Egypt|1276
Sudan|Eritrea|682
Sudan|Ethiopia|744
Sudan|Libya|382
Sudan|South Sudan|2158
Suriname|Brazil|515
Suriname|French Guiana|556
Suriname|Guyana|836
Sweden|Finland|545
Sweden|Norway|1666
Switzerland|Austria|158
Switzerland|France|525
Switzerland|Italy|698
Switzerland|Liechtenstein|41
Switzerland|Germany|348
Syria|Iraq|599
Syria|Israel|83
Syria|Jordan|379
Syria|Lebanon|403
Syria|Turkey|899
Tajikistan|Afghanistan|1357
Tajikistan|China|477
Tajikistan|Kyrgyzstan|984
Tajikistan|Uzbekistan|1312
Tanzania|Burundi|589
Tanzania|Democratic Republic of the Congo|479
Tanzania|Kenya|775
Tanzania|Malawi|512
Tanzania|Mozambique|840
Tanzania|Rwanda|222
Tanzania|Uganda|391
Tanzania|Zambia|353
Thailand|Burma|2416
Thailand|Cambodia|817
Thailand|Laos|1845
Thailand|Malaysia|595
Timor-Leste|Indonesia|253
Togo|Benin|651
Togo|Burkina Faso|131
Togo|Ghana|1098
Tunisia|Algeria|1034
Tunisia|Libya|461
Turkey (Turkiye)|Armenia|311
Turkey (Turkiye)|Azerbaijan|17
Turkey (Turkiye)|Bulgaria|223
Turkey (Turkiye)|Georgia|273
Turkey (Turkiye)|Greece|192
Turkey (Turkiye)|Iran|534
Turkey (Turkiye)|Iraq|367
Turkey (Turkiye)|Syria|899
Turkmenistan|Afghanistan|804
Turkmenistan|Iran|1148
Turkmenistan|Kazakhstan|413
Turkmenistan|Uzbekistan|1793
Uganda|Democratic Republic of the Congo|877
Uganda|Kenya|814
Uganda|Rwanda|172
Uganda|South Sudan|475
Uganda|Tanzania|391
Ukraine|Belarus|1111
Ukraine|Hungary|128
Ukraine|Moldova|1202
Ukraine|Poland|498
Ukraine|Romania|601
Ukraine|Russia|1944
Ukraine|Slovakia|97
United Arab Emirates|Oman|609
United Arab Emirates|Saudi Arabia|457
United Kingdom|Ireland|499
United States|Canada|8891
United States|Mexico|3111
Uruguay|Argentina|541
Uruguay|Brazil|1050
Uzbekistan|Afghanistan|144
Uzbekistan|Kazakhstan|2330
Uzbekistan|Kyrgyzstan|1314
Uzbekistan|Tajikistan|1312
Uzbekistan|Turenistan|1793
Venezuela|Brazil|2137
Venezuela|Colombia|2341
Venezuela|Guyana|789
Vietnam|Cambodia|1158
Vietnam|China|1297
Vietnam|Laos|2161
West Bank|Israel|330
West Bank|Jordan|148
Yemen|Oman|294
Yemen|Saudi Arabia|1307
Zambia|Angola|1065
Zambia|Botswana|0.15
Zambia|Democratic Republic of the Congo|2332
Zambia|Malawi|847
Zambia|Mozambique|439
Zambia|Namibia|244
Zambia|Tanzania|353
Zambia|Zimbabwe|763
Zimbabwe|Botswana|834
Zimbabwe|Mozambique|1402
Zimbabwe|South Africa|230
Zimbabwe|Zambia|763
